GENE	COVERAGE	STRAIN	LOCALE	GROUP
CLUG_01219	1.5630	A9.L3D	L	A
CLUG_01219	1.6550	ATCC42720	UNK	ATCC42720
CLUG_01219	1.6819	B16.1310D	UNK	B
CLUG_01219	1.7755	B17.1311G	UNK	B
CLUG_01219	1.8006	B18.1312G	UNK	B
CLUG_01219	1.5649	B19.1310A	UNK	B
CLUG_01219	1.8633	B20.1311A	UNK	B
CLUG_01219	1.7205	B21.1312A	UNK	B
CLUG_01219	1.5787	B22.134E	UNK	B
CLUG_01219	1.8084	B23.133H	UNK	B
CLUG_01219	1.5474	B24.133F	UNK	B
CLUG_01219	1.6893	B25.135C	UNK	B
CLUG_01219	1.5475	B26.131A	UNK	B
CLUG_01219	1.5525	B27.136A	UNK	B
CLUG_01219	1.7482	B28.13UM	UNK	B
CLUG_01219	2.0474	C10.9M3	UNK	C
CLUG_01219	2.0420	C11.9M41	UNK	C
CLUG_01219	2.3035	C12.9U1	UNK	C
CLUG_01219	1.5734	C13.9U2	UNK	C
CLUG_01219	1.7604	C14.9U3	UNK	C
CLUG_01219	1.5515	C15.9U4s	UNK	C
CLUG_01219	1.8577	C4.9L1	UNK	C
CLUG_01219	1.8730	C5.9L2	UNK	C
CLUG_01219	1.8529	C6.9L3	UNK	C
CLUG_01219	1.9478	C7.9L4	UNK	C
CLUG_01219	2.0825	C8.9M1	UNK	C
CLUG_01219	1.7425	C9.9M2	UNK	C
CLUG_01219	1.5480	ctl1.AL1B	L	A
CLUG_01219	1.5367	ctl2.AL1B	L	A
CLUG_01219	1.6881	ctl3.C9L1	UNK	C
CLUG_01220	1.5492	A10.L4C	L	A
CLUG_01220	1.5231	A11.L11G	L	A
CLUG_01220	1.6335	A12.L10B	L	A
CLUG_01220	1.5898	A13.L3B	L	A
CLUG_01220	1.5881	A14.L4E	L	A
CLUG_01220	1.5084	A15.L4G	L	A
CLUG_01220	1.5057	A16.L7C	L	A
CLUG_01220	1.6055	A17.L1B	L	A
CLUG_01220	1.5966	A18.S4H	S	A
CLUG_01220	1.5762	A19.S3B	S	A
CLUG_01220	1.6357	A2.U10A	U	A
CLUG_01220	1.5747	A20.S1E	S	A
CLUG_01220	1.5082	A21.S8A	S	A
CLUG_01220	1.5647	A22.UpperP	U	A
CLUG_01220	1.5879	A23.LowerP	L	A
CLUG_01220	1.6269	A24.SputuP	S	A
CLUG_01220	1.7367	A3.U3G	U	A
CLUG_01220	1.4453	A4.U3B	U	A
CLUG_01220	1.6184	A5.U10D	U	A
CLUG_01220	1.4684	A6.U5C	U	A
CLUG_01220	1.6228	A7.U3E	U	A
CLUG_01220	1.6237	A8.U2E	U	A
CLUG_01220	1.6041	A9.L3D	L	A
CLUG_01220	1.6773	ATCC42720	UNK	ATCC42720
CLUG_01220	1.6063	B16.1310D	UNK	B
CLUG_01220	1.7424	B17.1311G	UNK	B
CLUG_01220	1.6954	B18.1312G	UNK	B
CLUG_01220	1.5291	B19.1310A	UNK	B
CLUG_01220	1.7733	B20.1311A	UNK	B
